submission_date,STATE,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
4/17/21,Indiana,707111,,,1238,0,13216,12808,408,5,0,4/18/21 13:41,Not agree,Agree
4/17/21,Rhode Island,144149,,,0,0,2647,,,0,0,4/18/21 13:41,Not agree,N/A
4/17/21,Vermont,21869,,,66,2,242,,,0,0,4/18/21 13:41,Not agree,Not agree
4/17/21,Virginia,646133,503043,143090,1305,363,10581,8882,1699,17,0,4/18/21 13:41,Agree,Agree
4/17/21,Missouri,576939,,,-13,-23,8635,,,0,0,4/18/21 9:41,Not agree,Not agree
4/17/21,Oregon,174501,174501,0,875,0,2460,2460,0,3,0,4/18/21 13:41,Agree,Agree
4/17/21,Kentucky,437037,331221,105816,592,226,6330,5723,607,3,0,4/18/21 13:41,Agree,Agree
4/17/21,California,3614112,,,2763,0,59690,,,103,0,4/18/21 13:41,Not agree,Not agree
4/17/21,Washington,385549,,,1655,185,5380,,,0,0,4/18/21 13:41,N/A,N/A
4/17/21,Connecticut,329062,302775,26287,0,0,7995,6578,1417,0,0,4/18/21 13:41,Agree,Agree
4/17/21,New Jersey,975704,855759,119945,3922,493,25134,22542,2592,40,0,4/18/21 13:41,Agree,Agree
4/17/21,Maine,57285,43029,14256,346,124,765,741,24,1,0,4/18/21 13:41,Agree,Agree
4/17/21,Louisiana,451955,,,0,0,10282,9392,890,0,0,4/18/21 13:41,Not agree,Agree
4/16/21,Connecticut,329062,302775,26287,1062,208,7995,6578,1417,5,1,4/17/21 13:58,Agree,Agree
4/16/21,Montana,106941,98846,8095,118,19,1537,1537,0,9,0,4/17/21 13:58,Agree,Agree
4/16/21,Minnesota,552117,,,2287,343,7073,6610,463,6,0,4/17/21 13:58,N/A,Agree
4/16/21,Nebraska,215792,,,0,0,2205,,,0,0,4/17/21 13:58,Not agree,Not agree
4/16/21,North Dakota,105696,98220,7476,139,45,1479,,,1,0,4/17/21 13:58,Agree,Not agree
4/16/21,Wisconsin,650081,589213,60868,903,194,7412,6703,709,6,1,4/17/21 13:58,Agree,Agree
4/16/21,Washington,383894,,,2169,434,5380,,,18,0,4/17/21 13:58,N/A,N/A
4/16/21,Delaware,100322,93840,6482,407,55,1596,1456,140,1,0,4/17/21 13:58,Agree,Agree
4/16/21,North Carolina,943693,811179,132514,2475,621,12387,10924,1463,28,5,4/17/21 13:58,Agree,Agree
4/16/21,Nevada,310235,,,536,0,5365,,,6,0,4/17/21 13:58,,
4/16/21,Indiana,704632,,,1287,0,13211,12803,408,17,3,4/17/21 13:58,Not agree,Agree
4/16/21,New Jersey,971782,852330,119452,4381,617,25094,22502,2592,41,0,4/17/21 13:58,Agree,Agree
4/16/21,Wyoming,57267,48447,8820,64,11,703,703,0,0,0,4/17/21 13:58,Agree,Agree
4/16/21,Oregon,173626,173626,0,695,0,2457,2457,0,2,0,4/17/21 13:58,Agree,Agree
4/16/21,California,3611349,,,2451,0,59587,,,79,0,4/17/21 13:58,Not agree,Not agree
4/16/21,Maryland,434859,,,1500,0,8545,8359,186,17,0,4/17/21 13:58,N/A,Agree
4/16/21,Mississippi,309029,189151,119878,292,107,7153,4941,2212,0,5,4/17/21 13:58,Agree,Agree
4/16/21,Vermont,21803,,,139,4,242,,,2,0,4/17/21 13:58,Not agree,Not agree
4/16/21,Oklahoma,445203,351311,93892,340,134,6715,5686,1029,8,0,4/17/21 13:58,Agree,Agree
4/16/21,Ohio,1050112,885361,164751,2003,588,18991,18991,0,74,0,4/17/21 13:58,Agree,Agree
4/16/21,South Dakota,120856,,,243,-11,1952,1588,364,3,2,4/17/21 13:58,N/A,Agree
4/16/21,Iowa,359260,,,387,59,5878,,,8,8,4/17/21 13:58,Not agree,Not agree
4/16/21,Arkansas,333186,,,237,66,5692,,,6,6,4/17/21 13:58,Not agree,Not agree
4/16/21,Hawaii,30164,,,85,0,471,,,1,0,4/17/21 13:58,Not agree,Not agree
4/16/21,Tennessee,830484,687184,143300,1370,360,12049,9670,2379,8,1,4/17/21 13:58,Agree,Agree
4/16/21,Alaska,63245,,,184,0,329,,,0,0,4/17/21 13:58,N/A,N/A
4/16/21,Utah,392096,392096,0,463,0,2164,2103,61,2,0,4/17/21 13:58,Agree,Agree
4/16/21,Massachusetts,638408,628512,9896,1962,0,17308,17100,208,13,0,4/17/21 13:58,Agree,Agree
4/16/21,Georgia,1081629,866978,214651,1650,499,19718,17180,2538,56,6,4/17/21 13:58,Agree,Agree
4/16/21,Colorado,487578,456712,30866,2260,100,6186,5449,737,9,1,4/17/21 13:58,Agree,Agree
4/16/21,Florida,2115191,,,7161,1967,34330,,,92,7,4/17/21 13:58,Not agree,Not agree
4/16/21,Kansas,305861,247291,58570,541,131,4953,,,9,2,4/17/21 13:58,Agree,N/A
4/16/21,New Mexico,194868,,,263,0,4001,,,4,0,4/17/21 13:58,N/A,Not agree
4/16/21,Texas,2836978,,,3201,976,48508,,,83,0,4/17/21 13:58,Not agree,Not agree
4/16/21,Pennsylvania,1098502,928469,170033,5650,952,25622,,,56,-25,4/17/21 13:58,Agree,Not agree
